Support,Pattern,Cluster Sequence
24,sign meet comprehen → coalit strateg launch,0 → 7
24,sign meet comprehen → parti meet reach,0 → 39
24,sign meet comprehen → process take place,0 → 2
24,sign meet comprehen → govern state take,0 → 20
24,sign meet comprehen → region nation tribe,0 → 17
23,region nation tribe → take place mediat → take place mediat,17 → 4 → 4
23,region nation tribe → octob septemb decemb,17 → 13
23,hold confer elect → talk discuss take,49 → 48
23,hold confer elect → effort progress lead,49 → 1
23,establish develop implement → take place mediat → take place mediat → take place mediat,43 → 4 → 4 → 4
23,establish develop implement → establish develop implement → parti meet reach,43 → 43 → 39
23,establish develop implement → establish develop implement → negoti take place,43 → 43 → 18
23,establish develop implement → meet take place → take place mediat,43 → 22 → 4
23,establish develop implement → talk discuss take,43 → 48
23,establish develop implement → ababa take meet,43 → 40
23,establish develop implement → peac talk confer,43 → 46
23,take place mediat → meet take place → cessat continu mediat,4 → 22 → 38
23,take place mediat → meet take place → negoti take place,4 → 22 → 18
23,take place mediat → take place mediat → effort progress lead,4 → 4 → 1
23,take place mediat → take place mediat → commit agreement committe,4 → 4 → 11
23,take place mediat → take place mediat → negoti take place → parti meet reach,4 → 4 → 18 → 39
23,take place mediat → take place mediat → sign meet comprehen,4 → 4 → 0
23,take place mediat → take place mediat → lead ceasefir peac,4 → 4 → 8
23,take place mediat → ceasefir take effect → take place mediat,4 → 25 → 4
23,take place mediat → negoti take place → negoti take place → take place mediat,4 → 18 → 18 → 4
23,take place mediat → negoti take place → meet take place,4 → 18 → 22
23,take place mediat → govern state take → agreement implement reach,4 → 20 → 27
23,peac hold attend → negoti take place,31 → 18
23,peac hold attend → meet turkana pokot,31 → 45
23,peac hold attend → lead ceasefir peac,31 → 8
23,meet take place → take place mediat → cessat continu mediat,22 → 4 → 38
23,meet take place → take place mediat → agreement implement reach,22 → 4 → 27
23,meet take place → establish develop implement → establish develop implement,22 → 43 → 43
23,meet take place → meet take place → establish develop implement,22 → 22 → 43
23,meet take place → meet take place → take place mediat,22 → 22 → 4
23,meet take place → agreement implement reach → agreement implement reach,22 → 27 → 27
23,meet take place → negoti take place → cessat continu mediat,22 → 18 → 38
23,meet take place → negoti take place → agreement implement reach,22 → 18 → 27
23,troop deploy militia → cessat continu mediat,28 → 38
23,troop deploy militia → agreement implement reach,28 → 27
23,group team take → take place mediat,41 → 4
23,cessat continu mediat → take place mediat → cessat continu mediat,38 → 4 → 38
23,cessat continu mediat → agreement implement reach → agreement implement reach,38 → 27 → 27
23,cessat continu mediat → tension violenc continu,38 → 24
23,cessat continu mediat → negoti take place → negoti take place,38 → 18 → 18
23,ceasefir take effect → take place mediat → take place mediat,25 → 4 → 4
23,ceasefir take effect → fight take fighter,25 → 3
23,ceasefir take effect → region nation tribe,25 → 17
23,ceasefir take effect → lead ceasefir peac,25 → 8
23,repres repre govern → meet take place,23 → 22
23,repres repre govern → cessat continu mediat,23 → 38
23,commit agreement committe → octob septemb decemb,11 → 13
23,commit agreement committe → sudane sudan negoti,11 → 6
23,agreement implement reach → take place mediat → establish develop implement,27 → 4 → 43
23,agreement implement reach → meet take place → take place mediat,27 → 22 → 4
23,agreement implement reach → meet take place → cessat continu mediat,27 → 22 → 38
23,agreement implement reach → agreement implement reach → establish develop implement,27 → 27 → 43
23,agreement implement reach → cessat continu mediat → take place mediat,27 → 38 → 4
23,agreement implement reach → sign meet comprehen → agreement implement reach,27 → 0 → 27
23,agreement implement reach → talk discuss take,27 → 48
23,agre end set → take place mediat → take place mediat,35 → 4 → 4
23,agre end set → govern state take,35 → 20
23,clash conflict arm → agreement implement reach,33 → 27
23,juli meet immedi → troop deploy militia,21 → 28
23,juli meet immedi → repres repre govern,21 → 23
23,fight take fighter → parti meet reach,3 → 39
23,reconcili refus resum → region nation tribe,30 → 17
23,meet turkana pokot → parti meet reach,45 → 39
23,meet turkana pokot → coalit strateg launch,45 → 7
23,lead ceasefir peac → take place mediat → negoti take place,8 → 4 → 18
23,lead ceasefir peac → process take place,8 → 2
23,particip meet confer → agreement implement reach,10 → 27
23,particip meet confer → establish develop implement,10 → 43
23,negoti take place → cessat continu mediat → take place mediat,18 → 38 → 4
23,negoti take place → agreement implement reach → agreement implement reach → agreement implement reach,18 → 27 → 27 → 27
23,negoti take place → take place mediat → govern state take,18 → 4 → 20
23,negoti take place → establish develop implement → establish develop implement,18 → 43 → 43
23,negoti take place → establish develop implement → govern state take,18 → 43 → 20
23,negoti take place → establish develop implement → effort progress lead,18 → 43 → 1
23,negoti take place → negoti take place → take place mediat → agreement implement reach,18 → 18 → 4 → 27
23,negoti take place → negoti take place → take place mediat → negoti take place,18 → 18 → 4 → 18
23,negoti take place → negoti take place → govern congoles congo,18 → 18 → 44
23,negoti take place → negoti take place → lead ceasefir peac,18 → 18 → 8
23,negoti take place → negoti take place → sign meet comprehen,18 → 18 → 0
23,negoti take place → meet take place → meet take place,18 → 22 → 22
23,negoti take place → meet take place → cessat continu mediat,18 → 22 → 38
23,negoti take place → meet take place → negoti take place,18 → 22 → 18
23,negoti take place → reconcili refus resum → agreement implement reach,18 → 30 → 27
23,negoti take place → particip meet confer,18 → 10
23,govern congoles congo → parti meet reach,44 → 39
23,govern congoles congo → octob septemb decemb,44 → 13
23,parti meet reach → take place mediat → meet take place,39 → 4 → 22
23,parti meet reach → talk discuss take,39 → 48
23,parti meet reach → meet turkana pokot,39 → 45
23,parti meet reach → negoti take place → agreement implement reach,39 → 18 → 27
23,parti meet reach → lead ceasefir peac,39 → 8
23,parti meet reach → effort progress lead,39 → 1
23,govern state take → tension violenc continu,20 → 24
23,govern state take → region nation tribe,20 → 17
23,govern state take → coalit strateg launch,20 → 7
23,govern state take → meet turkana pokot,20 → 45
23,govern state take → sign meet comprehen,20 → 0
23,tension violenc continu → take place mediat → take place mediat,24 → 4 → 4
23,tension violenc continu → juli meet immedi,24 → 21
23,ababa take meet → take place mediat,40 → 4
23,sign meet comprehen → cessat continu mediat → agreement implement reach,0 → 38 → 27
23,sign meet comprehen → take place mediat → take place mediat,0 → 4 → 4
23,sign meet comprehen → commit agreement committe,0 → 11
23,sign meet comprehen → negoti take place,0 → 18
23,sudane sudan negoti → agreement implement reach,6 → 27
